"iso3","measurement_year","who_country_name","pm2_5"
"ZWE",2017,"Zimbabwe",NA
"ZMB",2017,"Zambia",NA
"YEM",2017,"Yemen",NA
"VNM",2017,"Vietnam",NA
"VEN",2017,"Venezuela",NA
"VAT",2017,"Vatican",NA
"VUT",2017,"Vanuatu",NA
"UZB",2017,"Uzbekistan",NA
"URY",2017,"Uruguay",NA
"FSM",2017,"Micronesia",NA
"MHL",2017,"Marshall Is.",NA
"MNP",2017,"N. Mariana Is.",NA
"VIR",2017,"U.S. Virgin Is.",NA
"GUM",2017,"Guam",NA
"ASM",2017,"American Samoa",NA
"PRI",2017,"Puerto Rico",NA
"USA",2017,"United States of America",7.95627378412505
"SGS",2017,"S. Geo. and the Is.",NA
"IOT",2017,"Br. Indian Ocean Ter.",NA
"SHN",2017,"Saint Helena",NA
"PCN",2017,"Pitcairn Is.",NA
"AIA",2017,"Anguilla",NA
"FLK",2017,"Falkland Is.",NA
"CYM",2017,"Cayman Is.",NA
"BMU",2017,"Bermuda",NA
"VGB",2017,"British Virgin Is.",NA
"TCA",2017,"Turks and Caicos Is.",NA
"MSR",2017,"Montserrat",NA
"JEY",2017,"Jersey",NA
"GGY",2017,"Guernsey",NA
"IMN",2017,"Isle of Man",NA
"GBR",2017,"United Kingdom",8.25866900295472
"ARE",2017,"United Arab Emirates",33.2754193548387
"UKR",2017,"Ukraine",NA
"UGA",2017,"Uganda",53.71
"TKM",2017,"Turkmenistan",NA
"TUR",2017,"Turkey",32.0764903225806
"TUN",2017,"Tunisia",NA
"TTO",2017,"Trinidad and Tobago",17.869375
"TON",2017,"Tonga",NA
"TGO",2017,"Togo",NA
"TLS",2017,"Timor-Leste",NA
"THA",2017,"Thailand",35.203
"TZA",2017,"Tanzania",NA
"TJK",2017,"Tajikistan",NA
"TWN",2017,"Taiwan",NA
"SYR",2017,"Syria",NA
"CHE",2017,"Switzerland",11.6079498900879
"SWE",2017,"Sweden",6.54875129712902
"SWZ",2017,"eSwatini",NA
"SUR",2017,"Suriname",NA
"SSD",2017,"S. Sudan",NA
"SDN",2017,"Sudan",NA
"LKA",2017,"Sri Lanka",31.39
